Probe,Mean_Limited,Mean_Advanced,Log2FC,T_stat,P_value,FDR,Direction,Gene_Symbol,neg_log_p
ILMN_1679897,10.9900345588235,10.319790430622,-0.0906970709741798,4.0421914134847,6.94553646245168e-05,0.0728586774911181,Limited-high,,4.158294204399415
ILMN_1781221,7.71501176470588,7.87997129186603,0.0304829207635352,-4.01399103648854,7.34488930266906e-05,0.0738601007775886,Advanced-high,,4.134014745224611
ILMN_1673566,8.93376176470588,9.24853205741627,0.0499017123809959,-4.01184513052632,7.59164528218415e-05,0.0738601007775886,Advanced-high,,4.119664092412827
ILMN_2252186,11.1571911764706,10.7996464114833,-0.0469470255012596,3.99947248867672,7.79539399463859e-05,0.0738601007775886,Limited-high,,4.10816192981789
ILMN_2162860,8.29529558823529,8.51906124401914,0.0383554441324855,-3.98906161450539,8.24078599162214e-05,0.0756401144206017,Advanced-high,,4.084031364086254
ILMN_1766363,11.1123022058824,10.6181066985646,-0.0655708258527259,3.96821700949332,8.92622279542216e-05,0.0771895331110169,Limited-high,,4.049332277520708
ILMN_1657898,8.53566838235294,8.83729282296651,0.0500427396397928,-3.96398000592201,9.20488072117826e-05,0.0771895331110169,Advanced-high,,4.035981834804694
ILMN_2320330,12.8705948529412,12.2229976076555,-0.0744212525003772,3.95824944299485,9.43769761980821e-05,0.0771895331110169,Limited-high,,4.025133941397865
ILMN_1809951,9.87118235294118,10.2797985645933,0.0584591541298471,-3.95627221418493,9.52954940112371e-05,0.0771895331110169,Advanced-high,,4.020927634223379
ILMN_1717967,8.94843676470588,8.52501961722488,-0.0698525366765486,3.95620563810627,9.72358955844894e-05,0.0771895331110169,Limited-high,FOXO1,4.012173381406532
ILMN_2047856,7.60903823529412,7.69327081339713,0.0158622498118401,-3.92906280588831,0.0001036545904402,0.0801195429055318,Advanced-high,,3.9844114600080998
ILMN_2383383,9.28099558823529,9.55518660287081,0.0419599150465015,-3.92248767489149,0.0001079440660885,0.0805869041017424,Advanced-high,,3.966801226751266
ILMN_1716359,10.9412772058824,11.5416406698565,0.0769986352792103,-3.91511800859291,0.0001118474626801,0.0805869041017424,Advanced-high,,3.9513738636597107
ILMN_2262749,10.2848551470588,9.88413349282297,-0.0572782610339131,3.91535945363714,0.0001124902311102,0.0805869041017424,Limited-high,,3.948885190967252
ILMN_1656940,8.88403455882353,9.11982631578947,0.0377494044311881,-3.90408755070385,0.000116125057037,0.0806355324079067,Advanced-high,,3.9350740596863685
ILMN_1799106,9.52165294117647,10.0493373205742,0.0777369404321376,-3.90147084507685,0.0001182312854799,0.0806355324079067,Advanced-high,,3.927267588484664
ILMN_2174437,9.93138382352941,10.7292842105263,0.111379247182757,-3.89008364642836,0.0001219956902135,0.0806355324079067,Advanced-high,,3.9136555115347282
ILMN_2224034,8.64945294117647,8.8444990430622,0.0321348006652206,-3.89168188207379,0.0001235393898391,0.0806355324079067,Advanced-high,,3.9081945479729594
