Tumor_Sample_Barcode	GAMBL-only	Intersect	Reddy-only
Reddy_2758T	0	0	2
Reddy_2761T	3	2	4
Reddy_2762T	5	3	4
Reddy_2763T	3	5	4
Reddy_2764T	5	7	4
Reddy_2765T	1	5	2
Reddy_2766T	1	0	13
Reddy_2767T	1	5	2
Reddy_2768T	2	4	4
Reddy_2769T	0	0	3
Reddy_2770T	0	0	1
Reddy_2771T	0	2	1
Reddy_2772T	1	3	6
Reddy_2773T	5	0	3
Reddy_2775T	11	7	2
Reddy_2776T	2	1	3
Reddy_2777T	3	5	4
Reddy_2778T	1	4	3
Reddy_2779T	7	10	6
Reddy_2781T	8	16	4
Reddy_2783T	0	2	2
Reddy_2784T	2	5	8
Reddy_2785T	4	0	5
Reddy_2786T	5	4	4
Reddy_2788T	3	6	3
Reddy_2789T	8	3	3
Reddy_2790T	1	7	1
Reddy_2791T	1	2	2
Reddy_2792T	1	9	1
Reddy_2793T	0	1	1
Reddy_2794T	2	1	3
Reddy_2805T	4	11	2
Reddy_2806T	0	0	2
Reddy_2808T	7	11	3
Reddy_2809T	3	3	1
Reddy_2810T	1	2	0
Reddy_2812T	1	2	0
Reddy_2813T	0	0	3
Reddy_2814T	0	0	2
Reddy_2815T	1	5	1
Reddy_2816T	4	7	0
Reddy_2818T	1	0	1
Reddy_2819T	11	7	2
Reddy_2820T	4	9	1
Reddy_2821T	2	3	2
Reddy_2823T	1	4	0
Reddy_2824T	4	4	2
Reddy_2826T	1	0	5
Reddy_2827T	16	12	2
Reddy_2828T	5	1	5
Reddy_2829T	2	2	2
Reddy_2830T	3	4	1
Reddy_2831T	3	6	2
Reddy_2832T	22	16	7
Reddy_2833T	4	2	1
Reddy_2834T	8	6	2
Reddy_2836T	8	13	1
Reddy_2837T	3	3	2
Reddy_2838T	12	34	0
Reddy_2839T	1	5	0
Reddy_2840T	1	2	1
Reddy_2841T	5	2	0
Reddy_2843T	1	0	0
Reddy_2844T	2	1	1
Reddy_2865T	1	1	2
Reddy_2867T	2	2	2
Reddy_2871T	3	5	2
Reddy_2872T	1	6	6
Reddy_2873T	2	1	2
Reddy_2874T	7	5	7
Reddy_2877T	2	1	3
Reddy_2878T	1	2	4
Reddy_2879T	17	7	2
Reddy_2881T	0	2	4
Reddy_2882T	8	8	1
Reddy_2884T	4	2	3
Reddy_2886T	0	0	3
Reddy_2887T	2	3	2
Reddy_2888T	6	7	3
Reddy_2889T	1	4	0
Reddy_2891T	2	1	4
Reddy_2892T	0	0	4
Reddy_2894T	3	2	1
Reddy_2895T	1	3	2
Reddy_2897T	7	7	2
Reddy_2898T	7	5	4
Reddy_2899T	2	3	2
Reddy_2900T	2	5	3
Reddy_2901T	17	11	3
Reddy_2902T	2	2	2
